Name,File,Age,Gender,Race,Language,Words,Seconds,WPS,Readability,F0mean,F0median,YT_WER,FB_WER,MS_WER,GM_WER,WX_WER,ZM_WER,BJ_WER
Jonathan Eisen,JonathanEisen_2012P,44,M,White,US,2273,860,2.643,6.79,179.85,164.95,0.0286,0.03828,0.02948,0.03696,0.06115,0.04399,0.0352
Jonathan Harris,JonathanHarris_2007,93,M,White,US,3210,1031,3.114,6.64,159.75,137.93,0.04237,0.05576,0.03738,0.05919,0.07103,0.03614,0.04611
Jonathan Klein,JonathanKlein_2010U,,M,White,Non-US,923,359,2.57,7.95,156.32,131.15,0.01842,0.04009,0.03142,0.05092,0.08342,0.06392,0.04334
Jonathan Marks,JonathanMarks_2017X,,M,White,Non-US,1888,900,2.097,7.49,174.62,163.27,0.02809,0.03816,0.03021,0.04399,0.07154,0.05511,0.04928
Jonathan Tepperman,JonathanTepperman_2016T,45,M,White,US,2603,1101,2.364,7.7,176.65,158.42,0.02231,0.04538,0.03192,0.04577,0.08731,0.04769,0.05538
Jonathan Zittrain,JonathanZittrain_2009G,40,M,White,US,2980,1189,2.507,6.73,190.07,181.82,0.03356,0.04933,0.0443,0.05369,0.06678,0.05805,0.05436
Jon Gosier,JonGosier_2014U,33,M,Black,US,925,368,2.511,8.21,157.84,119.4,0.06054,0.05189,0.05081,0.04432,0.06703,0.0573,0.04541
Jon Mooallem,JonMooallem_2014,,M,White,US,2596,857,3.031,7.56,152.44,135.59,0.04086,0.07132,0.05667,0.05975,0.11141,0.0717,0.0744
Jorge Soto,JorgeSoto_2014G,,M,Latino,L2,1614,681,2.369,8.09,136.54,123.08,0.06196,0.10161,0.10471,0.12825,0.23482,0.15613,0.12887
Joseph Lekuton,JosephLekuton_2007G,38,M,Black,L2,923,321,2.878,6.56,146.08,126.98,0.18527,0.19827,0.19502,0.22102,0.26977,0.21885,0.2416
Joseph Nye,JosephNye_2010G,73,M,White,US,2623,1092,2.402,6.58,158.1,140.35,0.02098,0.04653,0.03852,0.04539,0.08009,0.0553,0.0492
Josette Sheeran,JosetteSheeran_2011G,57,F,White,US,2865,1147,2.498,6.62,212.37,213.33,0.02105,0.0442,0.04069,0.03087,0.05787,0.0456,0.04946
Josh Luber,JoshLuber_2015S,37,M,White,US,1738,716,2.429,7.01,166.12,148.15,0.05784,0.08039,0.06709,0.07172,0.12955,0.08618,0.08733
Joshua Foer,JoshuaFoer_2012,30,M,White,US,2976,1226,2.428,6.83,168.52,145.45,0.03091,0.05141,0.04536,0.05444,0.08199,0.05948,0.05914
Joshua Prager,JoshuaPrager_2013,,M,White,US,2873,1111,2.587,6.58,165.9,134.45,0.0449,0.05117,0.05604,0.07414,0.12461,0.08388,0.06544
Joshua Prince Ramus,JoshuaPrinceRamus_2009X,40,M,White,US,3174,1119,2.837,6.53,158.64,133.33,0.04127,0.06333,0.05293,0.05986,0.09515,0.06427,0.06616
Joshua Smith,JoshuaSmith_2016S,,M,White,US,1692,750,2.255,8.28,178.41,163.27,0.03079,0.06454,0.04263,0.04144,0.08763,0.05033,0.045
JR,JR_2012,29,M,White,L2,893,388,2.299,6.66,177.26,175.82,0.10762,0.11211,0.11771,0.1491,0.19283,0.12892,0.12556
Juan Enriquez,JuanEnriquez_2016T,57,M,Latino,US,2516,949,2.65,6.82,159.25,126.98,0.03819,0.04932,0.06086,0.07717,0.13803,0.09109,0.11854
Julia Bacha,JuliaBacha_2016T,36,F,Latino,L2,1624,752,2.16,8.36,199.47,197.53,0.03268,0.06289,0.05055,0.07028,0.14303,0.08755,0.0598
Juliana Machado Ferreira,JulianaMachadoFerreira_2010U,,F,Latino,L2,676,332,2.039,7.8,243.18,246.15,0.04593,0.08444,0.04889,0.06519,0.12296,0.07556,0.08444
Juliana Rotich,JulianaRotich_2013G,36,F,Black,L2,1433,574,2.497,7.34,193.22,173.91,0.0328,0.05722,0.04815,0.04187,0.07886,0.0635,0.0635
Julian Baggini,JulianBaggini_2011X,43,M,White,Non-US,2095,723,2.898,6.17,190.33,163.27,0.07828,0.08449,0.08496,0.09833,0.11026,0.10263,0.13842
Kakenya Ntaiya,KakenyaNtaiya_2012X,34,F,Black,L2,2349,913,2.573,5.7,236.7,235.29,0.04896,0.05747,0.06897,0.0911,0.15113,0.10004,0.09579
Kamal Meattle,KamalMeattle_2009U,,M,Asian,L2,565,244,2.317,7.81,168.74,155.34,0.07065,0.1087,0.07246,0.10326,0.18297,0.14674,0.11232
Karen Thompson Walker,KarenThompsonWalker_2012G,,F,White,US,1988,688,2.892,7.2,172.37,153.85,0.01761,0.03421,0.01911,0.03974,0.09809,0.04829,0.03672
Karima Bennoune,KarimaBennoune_2014X,,F,White,US,3093,1205,2.566,7.68,195.8,173.91,0.03622,0.06177,0.03978,0.0608,0.09023,0.0608,0.04884
Karim Abouelnaga,KarimAbouelnaga_2017U,26,M,Black,US,1075,429,2.505,7.39,166.92,156.86,0.02239,0.04384,0.04291,0.03638,0.0653,0.04851,0.05224
Kary Mullis,KaryMullis_2009,65,M,White,US,761,269,2.827,6.69,132.76,111.89,0.08947,0.10921,0.10526,0.13421,0.13684,0.12895,0.11447
Kate Adams,KateAdams_2016S,,F,White,US,1795,751,2.39,7.21,208.35,202.53,0.0195,0.03231,0.02284,0.02451,0.06407,0.03844,0.04847
Kate Stone,KateStone_2013,,F,White,Non-US,1957,705,2.776,6.41,162.71,135.59,0.05774,0.06847,0.07256,0.12366,0.12519,0.08789,0.09862
Katherine Fulton,KatherineFulton_2007,,F,White,US,1842,748,2.462,7.08,206.85,200,0.05646,0.06352,0.05917,0.07329,0.09229,0.07709,0.06623
Katie Bouman,KatieBouman_2016X,27,F,White,US,2412,775,3.112,6.84,257.08,262.3,0.03939,0.07131,0.04187,0.05265,0.0937,0.05141,0.05638
Katie Hinde,KatieHinde_2016W,,F,White,US,1253,604,2.076,8.28,235.89,242.42,0.01995,0.03192,0.03352,0.04868,0.0822,0.05826,0.05028
Keith Chen,KeithChen_2012G,,M,Asian,US,2139,730,2.931,6.9,166.79,130.08,0.04266,0.05016,0.03891,0.15799,0.07454,0.0572,0.04219
Keller Rinaudo,KellerRinaudo_2013,,M,White,US,1036,351,2.954,6.56,177.47,158.42,0.04928,0.05604,0.05217,0.0657,0.09082,0.06957,0.07053
Ken Goldberg,KenGoldberg_2012X,51,M,White,US,2431,1026,2.369,6.87,207.19,183.91,0.06129,0.06705,0.07528,0.07651,0.12341,0.08885,0.09338
Ken Kamler,KenKamler_2009P,,M,White,US,3482,1247,2.793,6.21,146.48,133.33,0.06864,0.07323,0.0606,0.09305,0.13728,0.08013,0.10913
Kenneth Lacovara,KennethLacovara_2016,55,M,White,US,2319,954,2.431,7.38,156.51,134.45,0.03622,0.069,0.05261,0.06986,0.1367,0.07676,0.07072
Keren Elazari,KerenElazari_2014,33,F,White,L2,2176,999,2.178,7.86,219.56,222.22,0.02575,0.04644,0.03816,0.05149,0.10437,0.05839,0.05333
Kevin Briggs,KevinBriggs_2014,,M,White,US,1768,853,2.072,6.78,140.11,107.38,0.02603,0.04244,0.03509,0.04075,0.0747,0.06112,0.0481
Kevin Kelly,KevinKelly_2009X,,M,White,Non-US,2798,989,2.828,6.47,162.39,139.13,0.07327,0.1065,0.08685,0.16726,0.13474,0.08721,0.1065
Kevin Surace,KevinSurace_2009,47,M,White,US,628,195,3.226,6.97,163.57,149.53,0.0528,0.0768,0.0624,0.1648,0.0816,0.0784,0.056
Khadija Gbla,KhadijaGbla_2014X,,F,Black,Non-US,2828,1124,2.516,5.79,198.02,195.12,0.07072,0.06789,0.0983,0.12412,0.24081,0.15417,0.13649
Kimberley Motley,KimberleyMotley_2014G,,F,Black,US,2336,931,2.51,6.98,177.14,170.21,0.03942,0.05441,0.04242,0.06127,0.09126,0.0557,0.06084
Kiran Bedi,KiranBedi_2010W,61,F,Asian,L2,1588,524,3.031,6.1,230.27,228.57,0.0636,0.12154,0.06612,0.10453,0.13035,0.10327,0.12594
Krista Donaldson,KristaDonaldson_2013W,40,F,White,Non-US,1749,596,2.937,6.66,256.73,235.29,0.04363,0.06429,0.05913,0.07061,0.1062,0.06774,0.08381
Krista Tippett,KristaTippett_2010Z,50,F,White,US,2314,950,2.436,7.5,251.26,228.57,0.02939,0.04062,0.03717,0.03371,0.07865,0.05099,0.04754
Kristen Marhaver,KristenMarhaver_2015Z,33,F,White,US,2329,830,2.805,6.94,190.96,190.48,0.01717,0.02963,0.03478,0.0365,0.06526,0.04036,0.0365
Kristina Gjerde,KristinaGjerde_2010Z,53,F,White,US,2611,943,2.768,7.44,236.14,222.22,0.05102,0.06444,0.05293,0.1028,0.11124,0.07633,0.06559
Kwame Anthony Appiah,KwameAnthonyAppiah_2014S,60,M,Black,US,2602,881,2.955,6.84,208.51,175.82,0.06802,0.07302,0.06188,0.07148,0.12452,0.07456,0.06995
Lakshmi Pratury,LakshmiPratury_2007,,F,Asian,L2,588,249,2.362,7.37,219.37,188.24,0.03741,0.05782,0.04422,0.05952,0.10204,0.06803,0.04592
Lara Setrakian,LaraSetrakian_2017S,35,F,White,US,1331,522,2.552,6.94,196.01,192.77,0.01655,0.03236,0.02032,0.01956,0.03837,0.03236,0.02483
Larry Lessig,LarryLessig_2014,53,M,White,US,1947,824,2.362,6.88,183.57,172.04,0.04014,0.05661,0.05661,0.06536,0.10602,0.08029,0.09161
Larry Smith,LarrySmith_2011X,,M,White,Non-US,2026,912,2.222,5.69,173.89,155.34,0.06219,0.06565,0.07256,0.17769,0.11945,0.07996,0.08934
Latif Nasser,LatifNasser_2015,29,M,White,US,1741,836,2.083,7.51,163.09,155.34,0.04538,0.06893,0.05572,0.0672,0.14072,0.06778,0.07065
Laura Boushnak,LauraBoushnak_2014U,38,F,Asian,L2,737,310,2.378,8.23,195.76,200,0.0597,0.08141,0.07056,0.09769,0.1384,0.10312,0.08412
Laura Robinson,LauraRobinson_2014X,,F,White,Non-US,2154,685,3.142,6.64,224.39,225.35,0.05478,0.07799,0.0831,0.09006,0.15877,0.08542,0.11096
Laura Snyder,LauraSnyder_2012G,48,F,White,US,1653,755,2.191,8.29,193.89,179.78,0.01998,0.04479,0.02845,0.03208,0.06961,0.03208,0.03511
Laurel Braitman,LaurelBraitman_2014S,36,F,White,US,3152,1172,2.689,6.98,192.26,190.48,0.03331,0.04981,0.04569,0.05996,0.10628,0.0533,0.05679
Laurie Santos,LaurieSantos_2010G,35,F,Black,US,4434,1182,3.75,5.84,227.94,216.22,0.03769,0.05981,0.04739,0.14466,0.08328,0.05078,0.05304
Leana Wen,LeanaWen_2014P,31,F,Asian,US,2578,947,2.723,6.79,224.64,222.22,0.04311,0.06097,0.06058,0.08194,0.12388,0.09243,0.07495
Lee Cronin,LeeCronin_2012G,,M,White,Non-US,465,184,2.533,7,188.37,168.42,0.04086,0.04301,0.04086,0.07527,0.08387,0.05161,0.05161
Lee Smolin,LeeSmolin_2003,48,M,White,US,1843,745,2.473,6.74,174.7,163.27,0.05426,0.07162,0.05643,0.16549,0.08573,0.0624,0.06837
Lemon Andersen,LemonAndersen_2011Y,36,M,White,US,1443,533,2.709,7.25,175.69,168.42,0.10256,0.13167,0.13652,0.17672,0.22037,0.17464,0.16286
Lesley Hazleton,LesleyHazleton_2013G,68,F,White,Non-US,1544,825,1.871,7.81,163.84,136.75,0.03627,0.04339,0.04275,0.07966,0.20078,0.10427,0.08096
Leslie Morgan Steiner,LeslieMorganSteiner_2012X,,F,White,US,2232,957,2.333,6.75,209.65,207.79,0.01659,0.02466,0.02466,0.02152,0.05471,0.04798,0.02511
Lewis Pugh,LewisPugh_2010G,41,M,White,Non-US,1615,582,2.775,6.36,159.85,140.35,0.02291,0.04954,0.0322,0.04768,0.07183,0.0613,0.05263
Leyla Acaroglu,LeylaAcaroglu_2013,,F,White,Non-US,3176,1087,2.922,6.63,217.96,213.33,0.04822,0.06555,0.06744,0.06744,0.13205,0.08478,0.09203
Lian Pin Koh,LianPinKoh_2013G,37,M,Asian,L2,2013,811,2.482,7.57,173.52,158.42,0.03577,0.0616,0.04719,0.08892,0.11923,0.06756,0.05514
Linda Liukas,LindaLiukas_2015X,29,F,White,Non-US,1819,668,2.724,6.78,218.19,216.22,0.04288,0.06982,0.06157,0.08301,0.13469,0.08961,0.08686
Lisa Genova,LisaGenova_2017,47,F,White,US,2038,840,2.426,7.06,223.8,225.35,0.02111,0.04418,0.03093,0.03633,0.0756,0.04811,0.05302
Lisa Kristine,LisaKristine_2012X,47,F,White,US,2504,1158,2.162,7.36,172.3,170.21,0.01637,0.02875,0.02756,0.02516,0.07628,0.03914,0.05272
Liz Coleman,LizColeman_2009,,F,White,US,2211,1118,1.978,8.16,156.94,149.53,0.01266,0.02804,0.02081,0.03754,0.04568,0.02804,0.02759
Loretta Napoleoni,LorettaNapoleoni_2009G,54,F,White,L2,2125,941,2.257,6.86,226.63,228.57,0.05976,0.08188,0.06776,0.14118,0.168,0.10541,0.07859
Louise Fresco,LouiseFresco_2009,57,F,White,L2,2778,1080,2.571,6.31,214.45,219.18,0.04613,0.05946,0.05946,0.10162,0.11604,0.06847,0.08108
Louise Leakey,LouiseLeakey_2008,36,F,White,Non-US,2164,930,2.327,6.63,242.62,258.06,0.05224,0.07212,0.05825,0.07582,0.12714,0.07952,0.07166
Luca Turin,LucaTurin_2005,52,M,White,Non-US,2619,953,2.748,6.73,142.25,120.3,0.10737,0.11807,0.09744,0.12533,0.17654,0.12916,0.15246
Maajid Nawaz,MaajidNawaz_2011G,34,M,Asian,Non-US,2871,1070,2.684,6.99,196.53,190.48,0.03588,0.07628,0.05643,0.06583,0.10519,0.06479,0.06966
Mae Jemison,MaeJemison_2002,46,F,Black,US,3578,1285,2.784,6.89,189.8,188.24,0.06792,0.08944,0.07854,0.09055,0.11012,0.10117,0.08636
Magda Sayeg,MagdaSayeg_2015Y,,F,White,Non-US,976,334,2.921,6.67,222.14,216.22,0.03996,0.04918,0.04816,0.04918,0.08914,0.05225,0.05533
Magnus Larsson,MagnusLarsson_2009G,39,M,White,L2,1782,700,2.545,7.33,162.89,150.94,0.0579,0.06802,0.08319,0.095,0.15627,0.10568,0.10287
Maira Kalman,MairaKalman_2007,58,F,White,US,3249,1051,3.093,6.38,196.73,183.91,0.09021,0.09298,0.09052,0.2109,0.13824,0.09575,0.09421
Majora Carter,MajoraCarter_2010X,44,F,Black,US,2961,1076,2.751,7.38,193.03,186.05,0.09377,0.10934,0.10054,0.12322,0.1195,0.10122,0.09546
Malcolm Gladwell,MalcolmGladwell_2013S,50,M,Black,US,2506,941,2.664,6.55,139.36,130.08,0.06704,0.083,0.07702,0.14485,0.14725,0.10694,0.09338
Malcolm London,MalcolmLondon_2013S,20,M,Black,US,352,180,1.954,8,191.38,192.77,0.02841,0.06818,0.03693,0.0767,0.1108,0.07955,0.05114
Malte Spitz,MalteSpitz_2012G,28,M,White,Non-US,1207,607,1.988,5.86,185.35,158.42,0.04225,0.06297,0.06711,0.11019,0.13173,0.08948,0.08616
Manal Al Sharif,ManalAlSharif_2013G,34,F,Asian,L2,2008,857,2.344,6.72,225.54,235.29,0.08379,0.09277,0.11072,0.15761,0.22244,0.16259,0.12269
Manuel Lima,ManuelLima_2015,37,M,White,L2,1986,774,2.568,7.61,164.83,139.13,0.05995,0.07053,0.06902,0.08967,0.13552,0.09773,0.08212
Manu Prakash,ManuPrakash_2012G,,M,Asian,Non-US,1410,561,2.512,7.06,178.17,158.42,0.05674,0.08156,0.0617,0.06667,0.10355,0.07092,0.07518
Marc Abrahams,MarcAbrahams_2014P,,M,White,US,1759,797,2.207,6.69,186.5,146.79,0.03358,0.05009,0.03187,0.05521,0.07797,0.05065,0.04155
Marcin Jakubowski,MarcinJakubowski_2011U,39,M,White,L2,527,248,2.128,8.6,145.07,117.65,0.02846,0.04934,0.04364,0.03985,0.08349,0.05693,0.05882
Marc Koska,MarcKoska_2009G,48,M,White,Non-US,778,282,2.756,6.9,165.43,136.75,0.04247,0.06049,0.05148,0.05405,0.08108,0.06178,0.05019
Marc Kushner,MarcKushner_2014,37,M,White,US,2493,1089,2.289,6.79,164.94,153.85,0.02209,0.03896,0.03052,0.05141,0.06506,0.04739,0.04217
Marc Pachter,MarcPachter_2008P,65,M,White,US,3342,1252,2.67,6.14,152.53,144.14,0.06344,0.07421,0.06403,0.06643,0.09186,0.07301,0.06224
Marcus Byrne,MarcusByrne_2012X,,M,White,Non-US,2793,1026,2.723,5.95,151.03,142.86,0.04443,0.05948,0.07094,0.10319,0.17879,0.1082,0.12146
Margaret Heffernan,MargaretHeffernan_2015W,60,F,White,Non-US,2027,952,2.13,7.32,210.5,202.53,0.02073,0.03406,0.02665,0.02962,0.07058,0.04738,0.04492
Margaret Wertheim,MargaretWertheim_2009,51,F,White,Non-US,2696,928,2.906,6.64,214.88,210.53,0.04638,0.07124,0.06568,0.08868,0.13432,0.07904,0.0961
Marian Bantjes,MarianBantjes_2010,47,F,White,Non-US,2278,985,2.312,6.93,236.24,253.97,0.02328,0.03382,0.02855,0.05929,0.05885,0.03557,0.05314
Mark Kendall,MarkKendall_2013G,,M,White,Non-US,2020,831,2.431,6.84,168.05,126.98,0.0474,0.08086,0.08736,0.07574,0.15985,0.09619,0.09247
Mark Plotkin,MarkPlotkin_2014G,59,M,White,US,2510,995,2.522,7.12,126.54,109.59,0.04424,0.06736,0.06297,0.08888,0.15145,0.09526,0.07533
Mark Roth,MarkRoth_2010,59,M,White,US,2841,1090,2.606,6.52,173.63,168.42,0.07047,0.08386,0.07963,0.13953,0.11205,0.09549,0.08386
Marlene Zuk,MarleneZuk_2015W,59,F,White,US,1744,722,2.414,6.95,226.2,219.18,0.04415,0.05963,0.04702,0.09174,0.09346,0.06135,0.06193
Martin Jacques,MartinJacques_2010S,65,M,White,Non-US,2960,1287,2.299,6.75,142.35,125,0.06831,0.07372,0.07034,0.09638,0.12445,0.09571,0.06831
Martin Pistorius,MartinPistorius_2015X,40,M,White,Non-US,2097,852,2.46,6.64,141.58,118.52,0.0124,0.02623,0.03338,0.03004,0.08345,0.06056,0.04244
Martin Rees,MartinRees_2005G,63,M,White,Non-US,2599,1046,2.485,7.6,148.01,141.59,0.05925,0.08619,0.05964,0.09273,0.19315,0.09581,0.08388
Martin Reeves,MartinReeves_2016S,35,M,White,Non-US,1922,899,2.139,7.68,170.86,152.38,0.03175,0.05102,0.04529,0.05414,0.11296,0.06351,0.0708
Martin Seligman,MartinSeligman_2004,62,M,White,US,3249,1422,2.285,6.45,137.63,105.96,0.05364,0.06042,0.05919,0.07213,0.10789,0.07244,0.06504
Mary Bassett,MaryBassett_2015P,,F,Black,US,1580,834,1.895,8.36,190.87,179.78,0.03748,0.06036,0.04701,0.06226,0.0845,0.07624,0.05909
Mary Roach,MaryRoach_2009,50,F,White,US,2263,997,2.269,6.98,218.98,225.35,0.11091,0.11533,0.12019,0.12064,0.17013,0.12064,0.12152
Mary Robinson,MaryRobinson_2015W,71,F,White,Non-US,2848,1306,2.18,7.08,219.95,200,0.0295,0.05198,0.03934,0.06287,0.10889,0.07236,0.04882
Matt Cutts,MattCutts_2011U,38,M,White,US,471,204,2.309,6.44,181.06,170.21,0.03609,0.02548,0.04246,0.04883,0.04671,0.0276,0.07006
Matthew Carter,MatthewCarter_2014,77,M,White,Non-US,2357,962,2.451,7.06,193.72,160,0.05218,0.08401,0.06194,0.09504,0.13534,0.09291,0.07382
Matthew Williams,MatthewWilliams_2015X,,M,White,Non-US,1373,856,1.603,7.28,173.02,166.67,0.0277,0.04155,0.0379,0.04738,0.10714,0.06778,0.07507
Matthieu Ricard,MatthieuRicard_2014G,68,M,White,L2,2189,972,2.253,6.93,164.14,155.34,0.13123,0.13535,0.13855,0.15958,0.23091,0.17193,0.16369
Matt Ridley,MattRidley_2010G,52,M,White,Non-US,2968,983,3.018,6.57,171.55,158.42,0.03303,0.05325,0.04415,0.05561,0.09134,0.05662,0.05157
Maurizio Seracini,MaurizioSeracini_2012G,66,M,White,Non-US,1872,751,2.493,7.47,201.65,190.48,0.09455,0.11538,0.11912,0.15705,0.19231,0.14476,0.15118
Mechai Viravaidya,MechaiViravaidya_2010X,69,M,Asian,Non-US,2363,828,2.855,6.37,160.42,146.79,0.0687,0.09924,0.07973,0.12044,0.17684,0.12002,0.12214
Meera Vijayann,MeeraVijayann_2014X,,F,Asian,Non-US,2024,843,2.401,7.2,259.64,242.42,0.05143,0.0638,0.06034,0.07418,0.12908,0.08853,0.0816
Mellody Hobson,MellodyHobson_2014,45,F,Black,US,2287,855,2.675,6.69,214.42,216.22,0.0302,0.04376,0.0337,0.18249,0.05383,0.04158,0.04464
Memory Banda,MemoryBanda_2015W,19,F,Black,L2,1410,762,1.85,5.97,246.74,242.42,0.05532,0.07021,0.06879,0.09858,0.18865,0.13617,0.08936
Mia Birdsong,MiaBirdsong_2015W,,F,Black,US,2199,921,2.388,7.18,213.61,202.53,0.0382,0.0573,0.05002,0.04957,0.07094,0.05093,0.04911
Michael Anti,MichaelAnti_2012G,,M,Asian,L2,2334,1129,2.068,6.73,221.86,210.53,0.18045,0.20574,0.18345,0.2186,0.30562,0.24132,0.22846
Michael Bierut,MichaelBierut_2017S,60,M,White,US,2419,750,3.223,6.06,169.42,139.13,0.1112,0.11699,0.11368,0.17487,0.15006,0.12484,0.13353
Michael Hansmeyer,MichaelHansmeyer_2012G,,M,White,Non-US,1692,664,2.547,6.98,152.81,125,0.03253,0.05677,0.03903,0.03666,0.08516,0.05441,0.06682
Michael Merzenich,MichaelMerzenich_2004,62,M,White,US,4029,1387,2.904,6.83,172.38,158.42,0.06902,0.08788,0.0792,0.10874,0.14424,0.10377,0.10899
Michael Patrick Lynch,MichaelPatrickLynch_2017,,M,White,US,2046,870,2.351,6.59,173.19,158.42,0.03715,0.04985,0.0391,0.05132,0.07576,0.05523,0.04692
Michael Pawlyn,MichaelPawlyn_2010S,43,M,White,Non-US,2718,823,3.302,7.45,163.02,146.79,0.05889,0.08428,0.07214,0.08024,0.12808,0.07067,0.07692
Michael Pollan,MichaelPollan_2007,52,M,White,US,2876,1046,2.75,6.83,158.08,125.98,0.07615,0.07406,0.06363,0.06676,0.10431,0.06433,0.06363
Michael Porter,MichaelPorter_2013G,66,M,White,US,2090,988,2.115,6.46,245.23,225.35,0.03254,0.04593,0.04163,0.05646,0.07799,0.06172,0.07799
Michael Shellenberger,MichaelShellenberger_2016T,45,M,White,US,2548,842,3.025,6.59,162.46,132.23,0.03072,0.04923,0.04057,0.28436,0.06065,0.05632,0.06538
Michel Laberge,MichelLaberge_2014,,M,White,L2,2432,770,3.157,6.13,179.27,168.42,0.1028,0.13035,0.10238,0.16036,0.17845,0.13035,0.12664
Michelle Obama,MichelleObama_2009P,45,F,Black,US,1571,705,2.23,6.61,188.36,190.48,0.01082,0.03183,0.0191,0.0191,0.06429,0.03501,0.01528
Mick Cornett,MickCornett_2013P,55,M,White,US,2265,916,2.474,7.19,173,150.94,0.03797,0.05254,0.04106,0.05166,0.0755,0.06049,0.04768
Mick Ebeling,MickEbeling_2011A,38,M,White,US,1431,466,3.068,6.61,156.38,130.08,0.08316,0.08665,0.09224,0.12159,0.12229,0.10063,0.09713
Mick Mountz,MickMountz_2011X,46,M,White,US,2136,731,2.923,6.68,172.2,155.34,0.07227,0.08024,0.06757,0.0779,0.11262,0.08259,0.08259
Mihaly Csikszentmihalyi,MihalyCsikszentmihalyi_2004,70,M,White,Non-US,2325,1135,2.048,7.22,154.01,131.15,0.06675,0.07881,0.06546,0.0814,0.13867,0.07967,0.08484
Mike Rowe,MikeRowe_2008P,46,M,White,US,3473,1195,2.906,6.27,138.05,114.29,0.08696,0.08753,0.08408,0.1051,0.11172,0.10164,0.09358
Mikko Hypponen,MikkoHypponen_2013X,44,M,White,Non-US,2676,1158,2.311,6.62,185.08,168.42,0.05159,0.06879,0.05458,0.06991,0.11589,0.09047,0.08636
Milton Glaser,MiltonGlaser_1998,69,M,White,US,2087,908,2.299,6.89,168.97,139.13,0.09104,0.10446,0.09487,0.115,0.16531,0.12458,0.12985
Miru Kim,MiruKim_2008P,27,F,Asian,US,1860,863,2.156,7.61,194.47,207.79,0.04301,0.06344,0.06398,0.07258,0.11667,0.08011,0.06828
Mitchell Joachim,MitchellJoachim_2010,38,M,White,US,461,174,2.656,8.21,160.23,140.35,0.08894,0.09978,0.08243,0.09328,0.14751,0.09978,0.10846
Mitch Resnick,MitchResnick_2012X,56,M,White,US,2592,1006,2.578,6.49,163.39,163.27,0.03549,0.05478,0.05478,0.0733,0.10455,0.07948,0.07523
Mohamed Ali,MohamedAli_2013Z,42,M,Black,L2,1291,542,2.383,6.98,155.35,152.38,0.05586,0.06517,0.05974,0.06905,0.1249,0.09077,0.0737
Molly Stevens,MollyStevens_2013G,,F,White,Non-US,2641,892,2.96,6.84,223.7,222.22,0.03712,0.0572,0.04659,0.05833,0.0697,0.05758,0.04886
Mona Chalabi,MonaChalabi_2017S,,F,Asian,Non-US,2358,709,3.325,7.02,214,202.53,0.05523,0.065,0.06585,0.07986,0.11172,0.08794,0.09601
Monica Byrne,MonicaByrne_2016,35,F,White,US,1541,763,2.02,6.55,191.19,188.24,0.0305,0.04413,0.04478,0.0636,0.09994,0.08047,0.08566
Monica Lewinsky,MonicaLewinsky_2015,42,F,White,US,2431,1351,1.8,7.56,197.36,197.53,0.02469,0.03786,0.02881,0.03909,0.09136,0.04897,0.04403
Moshe Safdie,MosheSafdie_2014U,76,M,White,Non-US,703,350,2.008,7.4,166.56,142.86,0.04125,0.05263,0.06259,0.05548,0.09104,0.09957,0.07966
Moshe Szyf,MosheSzyf_2016X,,M,White,Non-US,2296,999,2.298,6.68,167.49,153.85,0.05664,0.0732,0.07407,0.08497,0.12244,0.08322,0.08671
Mundano,Mundano_2014U,,M,White,L2,616,326,1.887,8.53,175.52,175.82,0.15935,0.16585,0.2065,0.24715,0.33008,0.26992,0.22439
Murray Gell Mann,MurrayGellMannLANGUAGE_2007,78,M,White,US,315,136,2.324,7.44,142.65,104.58,0.09206,0.08571,0.08571,0.09841,0.14921,0.08571,0.14603
Nadia Lopez,NadiaLopez_2015P,32,F,Black,US,769,434,1.77,7.96,221.15,235.29,0.02999,0.05215,0.04302,0.04302,0.08866,0.04954,0.05346
Nadine Burke Harris,NadineBurkeHarris_2014P,39,F,Black,US,2073,963,2.153,7.62,198.71,179.78,0.03092,0.05121,0.04058,0.03768,0.06473,0.04493,0.04831
Nalini Nadkarni,NaliniNadkarni_2010U,,F,Asian,US,774,304,2.546,8.1,229.32,231.88,0.0168,0.04522,0.01809,0.03101,0.05943,0.04134,0.03876
Nancy Etcoff,NancyEtcoff_2004,49,F,White,US,2503,858,2.917,7.12,202.13,195.12,0.06923,0.10284,0.08884,0.23369,0.15326,0.09764,0.11365
Nancy Lublin,NancyLublin_2015W,44,F,White,US,1362,583,2.335,7.02,233.12,235.29,0.04576,0.0679,0.0679,0.04797,0.09889,0.08266,0.07085
Naomi Klein,NaomiKlein_2010W,40,F,White,US,2956,1220,2.424,7.84,213.32,216.22,0.03215,0.05787,0.03215,0.03959,0.07377,0.05347,0.04704
Naomi Oreskes,NaomiOreskes_2014S,56,F,White,US,3242,1155,2.808,6.59,217.37,219.18,0.02653,0.0549,0.03671,0.06632,0.07526,0.05182,0.04195
Natalie Panek,NataliePanek_2015X,,F,White,Non-US,1550,620,2.502,7.76,206.41,200,0.01742,0.03935,0.03032,0.02323,0.07871,0.03484,0.03871
Nate Silver,NateSilver_2009,31,M,White,US,1810,626,2.89,6.66,213.32,160,0.05642,0.07909,0.07577,0.19469,0.11117,0.08794,0.08739
Nathalie Cabrol,NathalieCabrol_2015,,F,White,L2,2532,966,2.621,6.38,226.9,235.29,0.06601,0.08972,0.06798,0.09447,0.15455,0.11028,0.09447
