Name,File,Age,Gender,Race,Language,Words,Seconds,WPS,Readability,F0mean,F0median,YT_WER,FB_WER,MS_WER,GM_WER,WX_WER,ZM_WER,BJ_WER
David Agus,DavidAgus_2009P,44,M,White,US,3942,1421,2.774,6.42,147.13,136.75,0.03535,0.05468,0.04145,0.07706,0.06714,0.06027,0.04374
David Anderson,DavidAnderson_2013X,,M,White,US,2371,923,2.57,7.16,158.69,139.13,0.02531,0.03543,0.03037,0.06537,0.06833,0.03669,0.03501
David Binder,DavidBinder_2012G,45,M,White,US,1272,541,2.35,7.67,195.01,186.05,0.04724,0.08583,0.05906,0.0622,0.10472,0.07402,0.06772
David Blaine,DavidBlaine_2009P,36,M,White,US,3044,1216,2.504,6.23,140.01,114.29,0.04995,0.06835,0.05685,0.0907,0.10976,0.09859,0.08281
David Brooks,DavidBrooks_2014U,,M,White,US,822,301,2.726,7.21,145.27,111.11,0.08273,0.08759,0.10219,0.11071,0.14964,0.13139,0.10097
David Byrne,DavidByrne_2010,58,M,White,US,2078,957,2.171,6.81,171.28,158.42,0.03465,0.05438,0.0563,0.05919,0.10972,0.06978,0.0847
David Cameron,DavidCameron_2010,44,M,White,Non-US,2328,836,2.783,6.51,158.19,140.35,0.02578,0.03825,0.03309,0.06145,0.06231,0.03524,0.04598
David Carson,DavidCarson_2003,48,M,White,US,3628,1354,2.68,6.5,155.18,124.03,0.08519,0.0987,0.08078,0.11056,0.1147,0.10229,0.12186
David Chalmers,DavidChalmers_2014,48,M,White,Non-US,2503,1117,2.24,6.5,174.66,161.62,0.02357,0.04594,0.04035,0.05593,0.13504,0.06912,0.05314
David Christian,DavidChristian_2011,,M,White,Non-US,2431,1057,2.3,6.85,167.28,153.85,0.02098,0.03332,0.02221,0.03743,0.08104,0.04401,0.03784
David Epstein,DavidEpstein_2014,,M,White,US,2552,894,2.856,7.35,153.33,139.13,0.04512,0.08474,0.04943,0.06669,0.11965,0.0816,0.06826
David Gallo,DavidGallo_2007,41,M,White,US,904,322,2.81,6.77,167.93,141.59,0.09878,0.11876,0.12875,0.13984,0.17314,0.13541,0.12986
David Griffin,DavidGriffin_2008,,M,White,US,2391,893,2.676,7.36,133.42,115.94,0.04433,0.05813,0.04266,0.05772,0.0849,0.0527,0.0481
David Hoffman,DavidHoffman_2008,,M,White,US,629,241,2.612,6.22,139.36,119.4,0.07472,0.08426,0.07154,0.11765,0.12083,0.08903,0.08744
David Keith,DavidKeith_2007S,,M,White,Non-US,3265,953,3.427,6.41,177.93,156.86,0.04536,0.06283,0.05271,0.10971,0.10604,0.06834,0.06405
David Kelley,DavidKelley_2012,63,M,White,US,1837,703,2.612,6.32,150.33,133.33,0.0862,0.10147,0.09929,0.11184,0.12275,0.11457,0.09656
David Kwong,DavidKwong_2014,34,M,Asian,US,1763,703,2.508,5.99,179.8,172.04,0.05842,0.06239,0.08395,0.08565,0.13046,0.0987,0.11741
David Lang,DavidLang_2013U,,M,White,US,721,269,2.682,7.74,163.88,120.3,0.03883,0.0527,0.04854,0.04993,0.08044,0.05687,0.06103
David Logan,DavidLogan_2009,,M,White,US,3062,996,3.073,6.16,183.42,175.82,0.0409,0.04876,0.05137,0.08508,0.07101,0.05857,0.0553
David Macaulay,DavidMacaulay_2002,56,M,White,US,4137,1294,3.197,6.67,156.28,140.35,0.0875,0.10297,0.08267,0.14068,0.1182,0.08001,0.10225
David Mackay,DavidMackay_2012X,80,M,White,US,3085,1112,2.775,6.44,169.63,146.79,0.06727,0.09327,0.08157,0.11862,0.13,0.09262,0.1131
David Puttnam,DavidPuttnam_2013X,72,M,White,Non-US,1747,641,2.724,8.42,134.9,115.94,0.03434,0.04579,0.0601,0.09616,0.16027,0.11334,0.06239
David Rothkopf,DavidRothkopf_2015,60,M,White,US,2633,1084,2.428,6.84,176.87,163.27,0.03535,0.05055,0.03763,0.05321,0.06918,0.05701,0.05739
David Sedlak,DavidSedlak_2015X,,M,White,US,2317,821,2.822,7.46,172.8,164.95,0.03457,0.06137,0.04365,0.03803,0.07736,0.03587,0.04019
David Sengeh,DavidSengeh_2014U,,M,Black,L2,575,283,2.031,8.73,260.05,219.18,0.04522,0.06087,0.07304,0.08522,0.20522,0.15652,0.09217
Dean Kamen,DeanKamen_2009P,58,M,White,US,2774,1169,2.372,6.14,123.77,103.23,0.04362,0.05155,0.06092,0.08039,0.13807,0.12112,0.10959
Deborah Gordon,DeborahGordon_2014,59,F,White,US,2279,849,2.683,6.86,207.27,213.33,0.0136,0.03554,0.01975,0.03115,0.06713,0.02896,0.03993
Debra Jarvis,DebraJarvis_2014P,50,F,White,US,2031,974,2.085,6.19,195.53,179.78,0.02659,0.04087,0.03693,0.05219,0.07238,0.05465,0.04579
Dee Boersma,DeeBoersma_2010Z,64,F,White,US,2661,906,2.937,6.48,223.69,219.18,0.0395,0.06057,0.05154,0.05643,0.10196,0.06321,0.06509
Deepika Kurup,DeepikaKurup_2016W,18,F,Asian,US,1032,484,2.133,8.08,238.69,250,0.02235,0.07289,0.02915,0.04082,0.06706,0.06414,0.05928
Deeyah Khan,DeeyahKhan_2016X,39,F,Asian,L2,3105,1215,2.555,6.38,189.65,192.77,0.02641,0.03929,0.02931,0.03575,0.05733,0.0438,0.03446
Del Harvey,DelHarvey_2014,,F,White,US,1226,559,2.193,7.33,243.2,222.22,0.02042,0.05637,0.03023,0.03922,0.07516,0.05964,0.06944
Denis Dutton,DenisDutton_2010,,M,White,US,1900,930,2.043,8.36,176.8,168.42,0.04737,0.07158,0.05316,0.06316,0.11789,0.07316,0.05895
Denise Herzing,DeniseHerzing_2013,,F,White,US,2513,878,2.862,6.71,196.61,190.48,0.04218,0.0577,0.05611,0.09152,0.11898,0.0768,0.08516
Derek Sivers,DerekSivers_2010G,41,M,White,US,519,193,2.696,6.99,171.64,152.38,0.04239,0.06936,0.07514,0.06166,0.06936,0.06744,0.04624
Devdutt Pattanaik,DevduttPattanaik_2009I,39,M,Asian,L2,2397,1103,2.174,6.8,168.92,158.42,0.05423,0.07676,0.0655,0.07676,0.15603,0.09512,0.11306
Dianna Cohen,DiannaCohen_2010Z,45,F,White,US,908,315,2.883,6.97,226.65,213.33,0.03201,0.0585,0.04746,0.04305,0.08168,0.04525,0.05519
Didier Sornette,DidierSornette_2013G,56,M,White,L2,2155,1021,2.11,7.62,171.49,142.86,0.1035,0.14406,0.11049,0.14545,0.20326,0.17622,0.14452
Diebedo Francis Kere,DiebedoFrancisKere_2013Z,48,M,Black,L2,1446,732,1.976,5.91,191.59,148.15,0.08299,0.11203,0.12033,0.13278,0.24066,0.19986,0.13071
